year,month,element,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31
1914,12,SNOW,0,0,0,0,0,0,5,0,102,25,0,0,25,0,0,0,0,0,71,0,51,0,0,51,0,0,0,0,107,0,0
1915,12,SNOW,8,0,0,0,0,0,3,25,0,0,0,51,0,0,0,0,0,0,18,3,0,64,0,25,152,0,0,0,0,0,0
1916,12,SNOW,0,0,0,0,0,0,0,0,5,0,5,38,38,0,5,43,13,0,25,51,0,0,0,28,3,0,0,0,0,0,0
1917,12,SNOW,0,0,0,0,0,8,0,102,0,0,0,0,71,0,0,8,0,0,0,0,0,0,25,0,0,0,0,0,0,3,5
1918,12,SNOW,0,0,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,13
1919,12,SNOW,20,0,0,0,0,8,38,0,0,0,0,0,0,0,5,38,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
1920,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,5,0,3,0,0,3,0,76,102,8,0,0,0
1921,12,SNOW,0,0,0,0,30,0,0,0,0,0,0,10,112,20,0,5,0,25,0,0,0,0,0,33,0,0,0,0,0,0,0
1922,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,5,168,0,0,13,0,0,0,0,0,13,0,0,0,0,5,0,0,0
1923,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,28,0,0,0,0,3,0
1924,12,SNOW,0,0,0,0,0,0,0,0,5,10,25,28,0,0,0,0,0,0,0,3,3,0,46,30,0,0,0,0,0,0,0
1925,12,SNOW,18,0,0,0,0,36,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,38,20,66,3,3,3,0,0,0
1926,12,SNOW,0,0,0,0,114,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3
1927,12,SNOW,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191
1928,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,12,SNOW,13,18,18,5,0,0,33,5,0,0,0,0,0,0,0,0,0,178,127,13,0,0,76,0,25,0,0,0,46,0,0
1930,12,SNOW,38,0,0,0,0,0,0,0,0,0,0,0,10,28,0,0,0,0,20,0,76,0,18,0,0,0,0,0,13,0,13
1931,12,SNOW,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
1932,12,SNOW,0,0,0,0,0,0,0,3,3,30,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1933,12,SNOW,0,0,0,0,0,0,0,5,0,61,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0
1934,12,SNOW,0,0,13,0,0,46,0,5,3,3,3,0,0,0,0,0,0,0,53,3,38,0,0,0,46,46,0,0,0,0,0
1935,12,SNOW,13,0,8,0,0,0,0,0,0,0,0,0,5,0,38,13,0,0,20,3,0,0,15,0,10,5,8,0,0,0,0
1936,12,SNOW,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,0,0,0,0,0,0,0,0,0,0
1937,12,SNOW,0,0,0,64,5,3,0,0,0,0,0,0,0,0,33,0,13,5,0,30,0,0,0,0,0,0,0,0,0,0,0
1938,12,SNOW,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,33,8,0,71,20,0,3,0,20
1939,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,5,5,18
1940,12,SNOW,3,5,0,5,13,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,41,0
1941,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1942,12,SNOW,38,8,5,3,0,8,0,0,0,3,13,5,8,0,8,0,13,8,0,0,18,0,0,0,0,0,0,0,0,0,0
1943,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,12,SNOW,0,0,0,0,0,0,0,0,0,5,140,8,8,0,0,5,0,0,0,0,3,0,3,3,89,0,5,3,0,0,0
1945,12,SNOW,0,0,0,0,0,0,0,0,0,3,5,8,76,8,0,0,0,0,0,3,0,5,0,0,0,8,0,0,0,0,8
1946,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,3,0,0,0,38,0,0
1947,12,SNOW,0,0,0,3,38,0,0,0,13,13,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,38,13,0,0,0,0
1948,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,13,0,0,0,0,0,0,0,0,0,13,0
1949,12,SNOW,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
1950,12,SNOW,0,0,13,0,0,0,0,0,0,0,0,0,20,5,15,0,0,0,0,0,0,18,0,0,8,66,0,0,0,0,0
1951,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,18,5,0,114,0,0,127,13,33,84,38,0,0,97,89,0,0,0,0,0
1952,12,SNOW,0,61,3,0,0,13,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1953,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,18,0,0,0,0,0,0,25,10,0,0,0,0,0,0,0
1955,12,SNOW,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0
1956,12,SNOW,0,0,0,0,0,0,0,76,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,12,SNOW,0,0,0,0,0,0,51,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
1958,12,SNOW,0,0,0,0,0,25,13,76,0,8,13,0,0,0,8,8,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0
1959,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,13,15,0
1960,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,13,76,51,0,0,0,0,0,0,0,0,0,0
1961,12,SNOW,0,0,0,0,0,0,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,8,0,0,0
1962,12,SNOW,0,0,0,0,0,76,127,8,8,13,8,3,13,0,8,0,0,0,0,0,0,25,33,0,13,0,0,0,0,0,0
1963,12,SNOW,0,3,0,0,0,0,0,0,0,5,0,102,0,0,0,0,0,43,0,0,0,0,0,0,0,0,5,0,0,0,0
1964,12,SNOW,0,43,15,0,38,0,25,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
1966,12,SNOW,0,3,0,0,0,0,0,0,0,152,13,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,76,0,0,0
1967,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,25
1968,12,SNOW,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,30,0,0,0,0,0,13,0,18,0
1969,12,SNOW,0,0,3,0,0,0,0,0,0,0,13,18,0,0,8,0,3,13,5,0,0,0,84,0,0,5,0,0,0,0,86
1970,12,SNOW,0,0,0,0,0,0,0,0,0,0,20,46,61,3,0,48,0,0,0,0,0,18,25,13,13,25,0,0,0,0,0
1971,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1972,12,SNOW,64,5,0,36,5,0,0,18,0,10,0,64,0,0,5,51,0,0,0,0,0,0,0,0,0,30,0,0,51,0,0
1973,12,SNOW,0,0,0,0,0,5,0,0,0,10,0,0,58,25,0,0,0,0,112,152,0,0,0,0,0,0,0,0,25,0,18
1974,12,SNOW,401,102,8,3,0,0,0,3,13,0,0,13,0,0,58,20,10,25,53,0,84,13,0,0,28,0,0,0,0,0,30
1975,12,SNOW,3,5,0,8,0,3,0,0,33,5,104,13,0,0,0,5,0,3,0,89,0,0,0,0,0,165,3,0,3,5,0
1976,12,SNOW,20,15,5,28,0,3,66,3,0,0,0,0,0,0,0,0,0,0,0,25,3,0,43,0,0,36,23,0,13,0,0
1977,12,SNOW,0,0,0,0,119,20,0,61,84,3,3,0,0,0,0,0,0,0,0,41,41,25,0,0,13,3,8,8,8,0,0
1978,12,SNOW,18,13,18,3,8,0,25,20,0,51,5,0,3,0,0,0,5,0,0,3,10,0,0,18,15,30,13,0,0,0,0
1979,12,SNOW,36,0,0,0,0,0,5,5,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1980,12,SNOW,0,10,8,0,0,0,0,0,3,0,3,10,0,0,0,0,0,5,8,0,0,0,0,81,0,3,0,0,102,0,43
1981,12,SNOW,0,0,0,15,0,0,0,5,5,0,0,0,20,10,0,10,36,8,0,5,36,41,178,0,0,0,43,28,3,3,0
1982,12,SNOW,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,33,0,0,0,10,0,0,0,0,0,0,0,0,3,5,0
1983,12,SNOW,25,10,0,3,0,160,10,3,64,0,0,0,0,0,8,10,3,8,0,0,23,89,0,5,0,0,3,124,13,5,0
1984,12,SNOW,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,30,0,0,0,0,0,10,25,74,0,0,0,0
1985,12,SNOW,0,20,0,0,25,23,0,0,0,0,20,13,5,0,3,43,5,15,3,8,20,33,0,38,3,43,64,5,8,0,0
1986,12,SNOW,0,43,3,56,15,0,23,48,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1987,12,SNOW,30,8,61,36,0,0,0,0,0,0,0,0,0,0,48,28,0,0,0,0,0,25,3,0,0,0,0,140,89,0,0
1988,12,SNOW,41,0,0,0,0,0,0,3,5,23,0,0,51,10,0,0,10,41,0,0,0,0,3,23,5,0,74,5,0,0,0
1989,12,SNOW,0,97,36,3,0,3,0,0,0,0,20,8,0,46,18,3,0,0,33,10,10,0,0,0,13,46,38,5,3,15,5
1990,12,SNOW,0,0,117,20,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,102,97,0,3,0,43,0,28,13
1991,12,SNOW,0,0,25,84,28,10,0,0,0,0,0,0,0,8,33,10,0,3,0,0,36,0,0,0,0,0,0,0,61,5,0
1992,12,SNOW,3,5,3,8,13,0,5,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0
1993,12,SNOW,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,38,28,3,8,18,0,0,0,36,25,3
1994,12,SNOW,0,0,0,0,0,3,244,0,8,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,12,SNOW,0,0,0,0,0,0,0,3,91,8,8,5,8,15,0,0,0,0,0,13,30,18,3,0,43,13,3,0,0,0,10
1996,12,SNOW,0,20,0,3,53,20,8,28,20,0,0,0,0,0,0,30,102,15,0,5,0,10,0,13,5,66,5,0,0,0,0
1997,12,SNOW,0,0,0,0,20,41,3,0,38,185,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,8,0,0,23,10
1998,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,13,0,0,0,0,0,0,8,0,38
1999,12,SNOW,0,0,0,0,0,124,0,0,0,0,0,0,0,13,0,41,0,0,0,0,5,0,13,5,0,3,15,56,3,0,0
2000,12,SNOW,0,0,0,0,10,0,58,33,0,3,155,178,30,102,0,0,135,8,104,3,53,3,13,30,0,0,38,0,20,53,0
2001,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,25,20,25,69,46,3,20
2002,12,SNOW,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,15,0,0,0,175,0,0,5,0,0,0
2003,12,SNOW,0,0,0,0,3,0,0,0,0,0,0,8,0,30,0,0,28,18,25,10,0,0,5,8,46,0,0,0,0,3,0
2004,12,SNOW,33,0,5,0,0,0,0,0,0,0,23,43,36,18,0,10,0,18,20,8,0,0,188,3,0,10,0,0,0,0,0
2005,12,SNOW,23,53,0,61,0,3,0,0,137,0,36,0,18,0,168,8,0,0,15,0,3,0,0,0,8,10,0,0,0,0,79
2006,12,SNOW,5,0,3,41,41,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2007,12,SNOW,3,20,8,0,25,0,3,0,0,0,0,3,3,0,5,269,0,0,0,0,0,0,5,15,0,0,10,13,0,0,13
2008,12,SNOW,41,28,0,8,8,61,10,15,0,18,0,3,5,0,0,18,64,0,183,3,38,15,43,30,5,3,0,0,0,0,38
2009,12,SNOW,0,0,0,3,0,0,5,3,66,36,3,0,8,0,5,0,0,0,38,5,10,3,0,0,0,18,28,43,0,0,38
2010,12,SNOW,20,8,5,0,3,10,13,3,0,28,0,119,20,0,0,0,3,3,3,0,0,20,0,0,5,8,0,0,0,0,0
2011,12,SNOW,0,23,0,0,5,64,5,0,56,0,0,0,0,0,0,0,15,5,0,0,0,0,5,10,0,0,33,3,18,0,0
2012,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,25,5,132,43,8,48,10,0
2013,12,SNOW,0,0,5,0,0,0,3,5,18,0,20,5,0,135,71,5,53,20,0,0,0,3,3,10,10,46,8,0,0,5,20
2014,12,SNOW,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,3,0,0,5
2015,12,SNOW,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,20,3,0,0
2016,12,SNOW,3,0,0,0,41,0,0,18,15,25,234,51,3,0,46,10,71,8,0,0,0,0,0,15,0,0,0,0,3,8,0
2017,12,SNOW,0,0,0,0,0,0,20,8,51,5,84,64,104,76,36,30,0,0,0,0,0,0,15,64,109,64,5,0,23,30,0
2018,12,SNOW,0,0,5,0,3,10,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,25,0
